Country,X1.1,X1.2,X1.3,X1.4,X1.5,X1.6,X2.1,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X3.1,X3.2,X3.3,X3.4,X3.5,X4.1,X4.2,X4.3,X4.4,X4.5,X4.6,X4.7
Denmark,97,99.8,85.3,72.2,100,94,79,42.9,73.3,18.7,96.8,83.7,0,74.6,100,94.8,100,100,32.3,60,91.5,8.5,98.8,55.4,81.8
Dominican Republic,68.5,97.1,54.4,63.4,100,48.4,39.6,36.2,58.2,88.8,61.1,71.7,100,76.1,47.1,73,57,92.1,56.9,45,56.7,70.7,58.3,20,72.2
Ecuador,96,89.5,49.8,54.6,50,85.6,31.4,25,62.2,56.8,51.8,83.1,50,47.8,100,69,61.3,90.8,45.6,5,60.9,15,65,58.7,60.3
Egypt,100,69,45.5,0,100,33.6,65.2,35.7,72.8,60.2,51.5,66.4,50,20.9,0,97.1,67.3,93.2,74.5,10,92.1,40.8,60.5,34.2,48.1
El Salvador,92,93.9,52.3,70.7,25,63.9,61.6,30.9,36.3,34,66.3,90.4,100,47.8,47.1,67.5,55.5,98.8,69.5,5,75,50,67,4.6,78.7
Ethiopia,0,26,40.5,44.9,25,19.4,47.6,26.3,40.8,90.1,22,74.5,0,7.5,50,72,34.7,40.1,63.8,0,57.4,8.7,83.3,29.2,28.1
Finland,91.5,99.9,83.5,72.2,100,94.9,79,46.5,72.5,20.4,94.2,84.2,50,71.6,100,98.3,100,100,71.9,20,91.1,63.2,98.6,95.4,87.6
France,90,99.9,80.4,72.2,100,90.3,90.7,39.8,80.9,38.4,85.9,84.4,0,74.6,100,93.7,100,93.6,66.9,20,78.5,24,100,95.4,85.5
Germany,88.5,99.8,78.6,72.2,100,94.7,86,51,68.8,59.5,94.5,84.1,0,77.6,73.5,88.2,100,93.6,66,20,82.1,8.2,97.6,95.4,91.8
Ghana,51,68.5,45.4,60.7,75,60.9,79,33.5,34.7,79.3,62.3,2.4,0,22.4,50,95.1,47.1,67.9,54,0,78.4,36.5,54.9,9.6,37.5
Greece,93,99.7,70.9,72.2,100,91,80.2,31.1,43.4,68,74.9,71.7,0,71.6,76.5,98.2,100,93.6,59.5,20,76.9,7.5,78.5,55.4,94.1
Guatemala,68,73.8,43.3,76.2,50,39.4,33.8,21.4,26.2,94.2,33.7,76.5,50,47.8,50,62.4,45.8,83.4,76.9,5,66.5,25,65.2,56.6,44.2
Guinea,36.5,23.8,39.5,60.7,25,17.4,67.4,24.2,18,93.9,45.5,44.7,50,25.4,26.5,57.3,37.8,48.1,69.8,0,79.7,46.8,60.3,32.3,22.7
Haiti,0,46,21.3,75.9,25,25.2,31.3,57.6,25.3,74.5,38.9,51,0,38.8,26.5,69.2,32.3,44.1,55.8,40,54.3,56.5,60.6,13.1,58.5
Honduras,76.5,68.9,37.3,73.2,25,47,60.4,33.4,40.9,76.2,50.9,89.6,100,49.3,73.5,62.2,54.2,89.3,67.5,45,74.6,77.5,60.4,34.6,51.2
Hungary,63.5,99.5,74.3,72.2,100,89.2,73.2,30.9,66,58.2,76.9,91.1,50,76.1,50,80,79.7,93.6,64.6,15,77.6,1,99.2,55.4,93.9
India,56,33.7,51.5,15,75,48.6,52.3,50.2,63.3,90.1,47.9,69.7,100,34.3,100,59.5,39.4,83.2,56.2,0,60.8,28.3,95.4,66,71.6
Indonesia,73.5,78.6,55.1,78.4,100,58.8,66.2,37.1,44.8,89.5,54.3,84.6,50,16.4,50,54.3,45.1,82,45.5,0,46.9,19.8,82.7,3.9,69.1
Ireland,100,99.7,83.8,72.2,100,89.1,100,78,60.1,39.1,78.7,93.9,50,71.6,100,100,100,98.8,70,95,75.7,19.7,70.8,95.4,77.2
Israel,100,99.2,69.1,71.2,100,96.9,100,27.3,57.1,85.4,70.1,88,50,70.1,76.5,100,100,100,75.3,20,88.6,32.3,42.6,20,54.4
Italy,93,98.1,71.6,72.2,100,95.4,87.2,31,69.2,87.4,80.7,91.5,0,68.7,50,97.8,100,99.7,58.6,15,81.4,1,72.6,55.4,92.1
Japan,94,99,76.3,60.7,100,99.3,54.6,76.1,87.5,96.9,88.4,86,50,58.2,100,80.5,87.3,99.5,51.9,55,75.4,1.8,60.1,93.8,91.4
Jordan,88.5,97.9,56.9,55.1,100,64.5,60.4,35.7,51.9,48.3,55,72,50,52.2,50,68.6,63.3,80.2,78.2,10,89.2,32.3,41.3,46.2,82.9
Kazakhstan,65,99.8,73.6,76.7,100,79.6,57,71.5,49.7,75.9,62.6,76.9,0,68.7,50,92,90,91.6,71.1,10,54.3,19.7,60,69.2,66.3
Kenya,68,28.6,37.9,49.4,50,53.4,38.3,30.9,25.3,65.6,36.6,72.3,50,29.9,50,80.2,47.7,60.3,63.2,5,52.9,8.7,75.3,33.1,33.5
Kuwait,79,99.1,49.1,87.5,100,64.7,89.5,55.6,62.3,64.3,68.4,87.4,50,56.7,73.5,99.6,100,93.6,43.1,20,32.2,57.3,0.8,71.5,63.3
Laos,56.5,59.8,51.8,72.2,25,25.2,33.8,33.9,16,79.6,45.4,69,50,25.4,50,55.1,46.2,72.5,69.3,0,39.6,32,86.6,22.3,58.5
Madagascar,81,1.7,30.3,64.2,25,20.2,27.8,27.8,26.3,81.3,46.3,67.9,0,1.5,50,69.9,34.6,40.6,77.3,0,54.7,22.8,78.6,50.8,21.8
Malawi,34.5,4.4,23.9,56.9,25,4.4,27.9,59.3,33.1,0,57.3,52.6,100,14.9,50,48.9,36.5,36.6,74.2,0,71.6,47,85.4,66.8,19.7
Malaysia,93.5,99.7,57,78.4,100,79.8,66.2,45,56.8,57.1,66.7,93.4,50,55.2,76.5,79.7,79.5,92.1,55.8,40,65.9,18.5,44,41.5,62.1
